Avg degree,Avg clustering,Avg short_path,Avg_topo,Avg_nc,Avg_cc,
hsa04742,2,0.264,2,0.78,3.468,0.008
hsa04744,4,0.331,2,0.678,5.883,0.066
hsa04750,6,0.308,2,0.486,9.772,0.02
hsa04810,13,0.387,2,0.335,21.055,0.008
hsa04910,12,0.458,2,0.356,18.962,0.012
hsa04911,5,0.364,3,0.524,7.131,0.041
hsa04912,11,0.36,2,0.429,15.754,0.02
hsa04913,3,0.508,1,0.737,4.148,0.014
hsa04914,12,0.566,2,0.468,17.378,0.018
hsa04915,11,0.491,2,0.424,15.574,0.015
hsa04916,9,0.44,2,0.486,11.548,0.018
hsa04917,9,0.446,2,0.452,12.988,0.019
hsa04918,5,0.47,3,0.501,6.432,0.044
hsa04919,10,0.391,2,0.406,15.481,0.016
hsa04920,6,0.426,2,0.495,7.594,0.025
hsa04921,10,0.337,2,0.455,16.747,0.011
hsa04922,5,0.427,3,0.44,8.196,0.024
hsa04923,5,0.428,2,0.544,7.376,0.036
hsa04924,4,0.365,2,0.654,6.632,0.023
hsa04925,6,0.452,2,0.5,7.99,0.031
hsa04930,5,0.441,2,0.498,7.453,0.036
hsa04931,8,0.425,2,0.407,13.073,0.019
hsa04932,24,0.59,2,0.468,29.429,0.011
hsa04933,9,0.36,2,0.328,12.129,0.017
hsa04940,5,0.398,2,0.496,6.925,0.047
hsa04950,1,0.076,1,0.73,2.647,0.029
hsa04960,5,0.432,2,0.523,7.479,0.05
hsa04961,3,0.396,2,0.623,4.83,0.058
hsa04962,3,0.436,3,0.633,4.14,0.035
hsa04964,1,0.167,1,0.726,1.929,0.032
hsa04966,10,0.686,1,0.79,11.739,0.015
hsa04970,3,0.297,2,0.62,5.69,0.019
hsa04971,4,0.308,2,0.512,5.809,0.031
hsa04972,3,0.217,3,0.657,5.066,0.029
hsa04973,3,0.354,1,0.707,3.773,0.005
hsa04974,3,0.364,1,0.667,5.751,0.007
hsa04975,3,0.484,3,0.662,3.825,0.068
hsa04976,2,0.215,3,0.66,3.514,0.026
hsa04977,1,0.303,0,0.914,1.788,0.004
hsa04978,1,0.23,1,0.782,3.205,0.007
hsa05010,31,0.601,2,0.49,39.832,0.009
hsa05012,38,0.699,2,0.558,48.919,0.009
hsa05014,4,0.407,2,0.551,5.949,0.037
hsa05016,32,0.661,2,0.459,41.8,0.008
hsa05020,4,0.662,2,0.742,4.723,0.016
hsa05030,5,0.523,3,0.57,7.183,0.056
hsa05031,7,0.521,2,0.494,9.606,0.026
hsa05032,9,0.508,2,0.518,12.457,0.022
hsa05033,4,0.334,1,0.737,5.92,0.027
hsa05034,33,0.703,2,0.592,37.711,0.01
hsa05100,7,0.387,2,0.411,10.823,0.024
hsa05110,8,0.524,2,0.634,10.4,0.047
hsa05120,7,0.557,3,0.52,9.399,0.04
hsa05130,9,0.623,2,0.498,11.915,0.029
hsa05131,8,0.458,2,0.389,10.692,0.024
hsa05132,6,0.459,3,0.47,8.819,0.027
hsa05133,6,0.465,2,0.45,8.34,0.028
hsa05134,6,0.599,2,0.495,8.151,0.034
hsa05140,7,0.415,2,0.44,9.32,0.021
hsa05142,8,0.407,2,0.369,10.583,0.018
hsa05143,2,0.269,3,0.63,2.906,0.048
hsa05144,4,0.282,3,0.531,5.672,0.043
hsa05145,9,0.414,2,0.415,11.582,0.013
hsa05146,3,0.471,3,0.596,4.896,0.022
hsa05150,9,0.447,2,0.541,13.474,0.023
hsa05152,8,0.414,3,0.39,11.652,0.014
hsa05160,10,0.383,2,0.35,13.603,0.013
hsa05161,13,0.433,2,0.294,16.752,0.011
hsa05162,9,0.423,2,0.35,11.876,0.014
hsa05164,9,0.395,2,0.349,12.556,0.012
hsa05166,12,0.403,2,0.299,17.314,0.008
hsa05168,9,0.414,3,0.358,12.919,0.012
hsa05169,17,0.451,2,0.272,21.523,0.008
hsa05200,17,0.378,2,0.275,26.616,0.005
hsa05202,6,0.318,3,0.42,9.44,0.016
hsa05203,16,0.499,2,0.319,22.256,0.008
hsa05204,5,0.374,3,0.57,8.204,0.034
hsa05205,15,0.358,2,0.274,23.05,0.007
hsa05206,10,0.355,2,0.364,16.128,0.013
hsa05210,9,0.484,2,0.365,12.56,0.021
hsa05211,9,0.413,2,0.494,13.444,0.02
hsa05212,10,0.423,2,0.319,13.422,0.018
hsa05213,11,0.532,1,0.434,15.521,0.021
hsa05214,11,0.524,2,0.366,15.558,0.018
hsa05215,13,0.525,2,0.355,17.404,0.015
hsa05216,4,0.475,2,0.584,7.001,0.063
hsa05217,10,0.471,1,0.457,13.541,0.02
hsa05218,11,0.564,2,0.411,13.595,0.021
hsa05219,9,0.575,2,0.544,12.774,0.033
hsa05220,12,0.484,2,0.338,15.411,0.016
hsa05221,8,0.358,2,0.42,10.509,0.029
hsa05222,6,0.525,3,0.462,8.795,0.032
hsa05223,10,0.509,2,0.42,13.87,0.023
hsa05224,13,0.507,2,0.371,18.35,0.012
hsa05230,8,0.491,2,0.475,10.449,0.028
hsa05231,9,0.357,2,0.416,12.558,0.018
hsa05310,4,0.414,2,0.592,6.17,0.068
hsa05320,5,0.437,2,0.561,6.83,0.04
hsa05321,5,0.322,3,0.467,6.816,0.038
hsa05322,36,0.725,2,0.678,39.596,0.014
hsa05323,8,0.47,2,0.521,11.079,0.021
hsa05330,5,0.454,2,0.511,7.95,0.044
hsa05332,5,0.407,2,0.497,8.186,0.04
hsa05340,4,0.39,2,0.591,5.157,0.075
hsa05410,4,0.371,4,0.597,6.192,0.035
hsa05412,3,0.245,3,0.64,6.064,0.02
hsa05414,4,0.408,4,0.566,6.581,0.037
hsa05416,5,0.503,2,0.546,7.166,0.034
hsa00010,11,0.551,2,0.468,17.672,0.019
hsa00071,6,0.473,2,0.533,8.14,0.045
hsa03420,25,0.844,1,0.718,29.24,0.011
hsa03430,13,0.808,1,0.681,13.972,0.02
hsa03440,6,0.526,2,0.505,9.182,0.043
hsa03450,3,0.54,1,0.591,5.079,0.081
hsa03460,6,0.475,2,0.556,10.843,0.037
hsa04010,16,0.417,2,0.309,30.26,0.007
hsa04012,15,0.521,2,0.405,24.739,0.013
hsa04014,14,0.458,2,0.343,24.02,0.008
hsa04015,12,0.417,2,0.329,19.971,0.009
hsa04020,7,0.306,3,0.494,13.79,0.012
hsa00072,2,0.36,1,0.663,3.42,0.142
hsa04022,6,0.339,3,0.453,11.433,0.014
hsa04024,7,0.289,3,0.432,11.579,0.012
hsa04060,10,0.379,3,0.351,15.288,0.009
hsa04062,14,0.402,2,0.324,19.031,0.01
hsa04064,11,0.429,2,0.334,15.237,0.016
hsa04066,7,0.403,2,0.384,10.393,0.019
hsa04068,13,0.399,2,0.38,19.239,0.012
hsa04070,5,0.247,3,0.534,8.059,0.033
hsa04071,10,0.421,2,0.424,13.511,0.017
hsa04072,8,0.331,3,0.472,12.525,0.019
hsa00100,4,0.632,1,0.635,7.086,0.063
hsa04080,3,0.298,4,0.682,4.518,0.008
hsa04110,27,0.556,1,0.352,36.695,0.008
hsa04114,12,0.49,2,0.397,18.08,0.014
hsa04115,8,0.502,2,0.483,13.984,0.017
hsa04120,10,0.448,2,0.424,15.437,0.015
hsa04122,1,0,1,0.722,2.222,0.283
hsa04130,15,0.669,1,0.639,17.049,0.013
hsa04140,3,0.432,1,0.665,4.497,0.014
hsa04141,11,0.383,2,0.361,16.654,0.01
hsa04142,4,0.35,3,0.54,7.396,0.024
hsa00120,1,0,0,0.9,1.4,0.033
hsa04144,9,0.353,3,0.313,13.57,0.009
hsa04145,11,0.466,2,0.43,15.076,0.015
hsa04146,7,0.36,2,0.438,10.585,0.023
hsa04150,10,0.441,2,0.429,14.949,0.014
hsa04151,14,0.431,2,0.314,21.243,0.006
hsa04152,8,0.492,3,0.475,11.846,0.02
hsa04210,10,0.408,2,0.33,14.294,0.013
hsa04211,8,0.553,3,0.536,11.397,0.024
hsa04213,10,0.634,2,0.483,15.085,0.027
hsa04215,7,0.581,2,0.523,9.71,0.04
hsa00130,1,0.333,0,0.88,2.185,0.016
hsa04260,9,0.464,2,0.651,11.001,0.019
hsa04261,8,0.355,3,0.414,11.805,0.016
hsa04270,6,0.351,2,0.516,10.779,0.019
hsa04310,10,0.373,2,0.393,17.226,0.013
hsa04320,6,0.565,1,0.729,8.228,0.016
hsa04330,9,0.592,1,0.506,15.223,0.025
hsa04340,7,0.376,2,0.53,9.975,0.033
hsa04350,11,0.475,2,0.46,16.597,0.02
hsa04360,10,0.316,2,0.38,17.175,0.011
hsa04370,8,0.4,2,0.467,10.754,0.027
hsa00140,3,0.218,3,0.617,5.75,0.072
hsa04380,10,0.405,2,0.328,14.837,0.013
hsa04390,11,0.363,2,0.368,16.207,0.011
hsa04392,2,0.098,2,0.704,3.906,0.088
hsa04510,13,0.397,2,0.323,20.547,0.009
hsa04512,6,0.415,2,0.457,11.868,0.025
hsa04514,6,0.324,3,0.455,9.732,0.016
hsa04520,8,0.364,2,0.316,12.128,0.02
hsa04530,9,0.438,2,0.376,12.481,0.017
hsa04540,10,0.499,2,0.443,13.39,0.019
hsa04550,11,0.42,2,0.413,15.364,0.015
hsa00190,45,0.775,1,0.523,54.443,0.006
hsa04610,12,0.491,2,0.334,15.606,0.016
hsa04611,7,0.369,2,0.4,10.547,0.017
hsa04612,7,0.538,2,0.519,11.535,0.028
hsa04614,2,0.09,1,0.787,6.044,0.06
hsa04620,11,0.45,2,0.366,13.978,0.016
hsa04621,9,0.419,3,0.366,12.304,0.014
hsa04622,5,0.348,2,0.548,7.873,0.031
hsa04623,8,0.574,3,0.641,9.24,0.043
hsa04630,10,0.416,2,0.418,17.6,0.012
hsa04640,7,0.418,2,0.4,11.199,0.02
hsa00220,3,0.619,2,0.644,4.755,0.118
hsa04650,9,0.413,2,0.421,13.975,0.016
hsa04660,12,0.427,2,0.338,18.163,0.013
hsa04662,10,0.442,2,0.364,13.472,0.019
hsa04664,10,0.375,2,0.388,13.847,0.022
hsa04666,8,0.324,2,0.361,11.769,0.02
hsa04668,10,0.426,2,0.345,13.736,0.016
hsa04670,7,0.319,2,0.388,9.439,0.019
hsa04672,4,0.396,2,0.551,6.534,0.035
hsa04710,4,0.587,2,0.633,5.517,0.085
hsa04713,10,0.503,2,0.448,12.936,0.018
hsa00230,11,0.492,3,0.434,16.804,0.014
hsa04720,10,0.435,2,0.383,14.091,0.02
hsa04721,8,0.491,2,0.538,11.193,0.03
hsa04722,12,0.401,2,0.323,19.024,0.012
hsa04723,9,0.532,2,0.487,13.46,0.019
hsa04724,9,0.491,2,0.433,14.127,0.018
hsa04725,10,0.414,2,0.441,14.34,0.019
hsa04726,9,0.438,2,0.494,13.292,0.021
hsa04727,8,0.503,2,0.508,11.277,0.029
hsa04728,9,0.513,3,0.398,12.009,0.017
hsa04730,7,0.369,2,0.548,9.654,0.032
